Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
Denville Township,"16,558",7,0,0,1,6,122,24,92,6,1,
Deptford Township,"31,090",133,1,1,43,88,"1,492",209,"1,228",55,10,
Dover,"17,827",43,0,6,19,18,358,93,239,26,1,
Dumont,"16,910",17,0,0,6,11,125,12,111,2,0,
Dunellen,"7,011",7,0,1,2,4,135,28,102,5,0,
Eastampton Township,"6,578",4,0,1,0,3,96,23,72,1,1,
East Brunswick Township,"47,323",50,1,6,21,22,941,125,789,27,6,
East Greenwich Township,"8,105",4,0,0,0,4,124,33,89,2,1,
East Hanover Township,"11,395",5,0,0,3,2,164,17,141,6,0,
East Newark,"2,113",2,0,0,0,2,28,7,18,3,0,
East Orange,"64,924",504,11,22,224,247,"1,247",388,632,227,22,
East Rutherford,"10,248",7,0,0,0,7,233,14,188,31,1,
East Windsor Township,"26,965",23,0,1,5,17,269,26,233,10,0,
Eatontown,"14,212",34,0,1,14,19,674,66,589,19,3,
Edgewater,"9,846",23,0,0,7,16,238,36,185,17,0,
Edgewater Park Township,"7,674",12,0,0,7,5,192,41,137,14,1,
Edison Township,"99,356",264,1,4,97,162,"2,192",423,"1,585",184,8,
Egg Harbor City,"4,362",12,1,0,4,7,107,16,84,7,2,
Egg Harbor Township,"41,005",101,3,8,36,54,976,184,748,44,13,
Elizabeth,"124,910","1,288",5,44,761,478,"5,113","1,002","3,164",947,17,
Elk Township,"4,001",8,0,1,0,7,85,24,56,5,1,
Elmer,"1,341",0,0,0,0,0,18,5,13,0,0,
Elmwood Park,"18,602",22,1,0,10,11,398,69,300,29,2,
Elsinboro Township,"1,046",3,0,0,0,3,16,6,10,0,0,
Emerson,"7,370",3,0,0,2,1,79,7,71,1,0,
Englewood,"29,463",67,0,4,27,36,433,129,271,33,1,
Englewood Cliffs,"5,858",2,0,0,1,1,86,19,62,5,0,
Englishtown,"1,934",1,0,0,0,1,20,4,16,0,0,
Essex Fells,"2,102",0,0,0,0,0,8,2,6,0,0,
Evesham Township,"45,633",38,0,8,15,15,616,80,521,15,3,
Ewing Township,"36,098",108,0,2,33,73,664,142,478,44,4,
"Fairfield Township, Essex County","7,529",11,1,1,1,8,262,37,203,22,0,
