Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
Rumson,"7,276",1,0,0,0,1,67,23,43,1,1,
Runnemede,"8,398",18,0,3,5,10,290,50,227,13,1,
Rutherford,"17,384",7,0,0,1,6,298,39,240,19,3,
Saddle Brook Township,"14,019",14,0,0,4,10,308,48,245,15,0,
Saddle River,"3,858",0,0,0,0,0,18,5,13,0,0,
Salem,"5,641",50,0,3,18,29,244,76,151,17,1,
Sayreville,"42,401",75,1,2,21,51,652,106,504,42,1,
Scotch Plains Township,"22,907",12,0,0,6,6,257,58,192,7,0,
Sea Bright,"1,802",1,0,0,0,1,31,2,29,0,0,
Sea Girt,"2,061",5,0,0,0,5,37,7,30,0,0,
Sea Isle City,"2,915",10,0,1,0,9,278,90,186,2,1,
Seaside Heights,"3,364",38,0,4,9,25,275,47,217,11,0,
Seaside Park,"2,317",2,0,0,0,2,74,7,65,2,0,
Secaucus,"15,312",15,0,0,4,11,551,36,473,42,0,
Ship Bottom,"1,456",3,0,0,0,3,60,6,54,0,0,
Shrewsbury,"3,798",7,0,0,5,2,82,14,65,3,0,
Somerdale,"5,074",15,0,1,4,10,113,37,68,8,2,
Somers Point,"11,316",36,0,0,8,28,409,83,320,6,4,
Somerville,"12,672",16,0,2,10,4,173,35,131,7,2,
South Amboy,"7,761",12,0,0,3,9,106,15,84,7,0,
South Bound Brook,"5,191",1,0,0,0,1,35,12,22,1,0,
South Brunswick Township,"41,448",24,0,1,10,13,405,78,306,21,1,
South Hackensack Township,"2,262",13,0,4,6,3,47,6,38,3,0,
South Harrison Township,"3,223",2,0,1,0,1,26,11,14,1,0,
South Orange,"15,767",43,1,0,26,16,459,73,331,55,0,
South Plainfield,"22,710",23,0,1,11,11,454,50,386,18,4,
South River,"15,715",38,0,3,6,29,224,40,171,13,2,
South Toms River,"3,718",9,0,1,2,6,98,20,75,3,1,
Sparta Township,"19,336",4,0,0,0,4,118,14,104,0,0,
Spotswood,"8,173",5,0,0,3,2,98,8,87,3,2,
Springfield,"14,873",10,0,0,8,2,268,34,218,16,1,
Springfield Township,"3,492",2,0,0,0,2,52,26,23,3,0,
Spring Lake,"3,514",2,0,0,0,2,82,16,66,0,2,
Spring Lake Heights,"5,122",3,0,0,0,3,24,2,19,3,2,
Stafford Township,"26,985",20,0,0,0,20,484,50,428,6,1,
Stanhope,"3,559",4,1,0,1,2,28,5,23,0,0,
Stillwater Township,"4,294",1,0,0,0,1,43,15,27,1,0,
Stone Harbor,"1,000",0,0,0,0,0,125,19,105,1,0,
Stratford,"7,026",14,0,0,3,11,145,44,92,9,0,
Summit,"20,494",10,0,1,3,6,278,33,240,5,0,
Surf City,"1,571",0,0,0,0,0,45,6,39,0,0,
Tavistock,31,0,0,0,0,0,0,0,0,0,0,
Teaneck Township,"37,985",63,0,3,20,40,551,117,399,35,8,
Tenafly,"14,759",0,0,0,0,0,78,21,54,3,0,
Teterboro,17,0,0,0,0,0,21,3,15,3,0,
Tewksbury Township,"6,088",1,0,0,0,1,22,4,18,0,0,
Tinton Falls,"20,069",12,0,1,7,4,366,36,320,10,1,
Toms River Township,"96,614",111,2,4,43,62,"2,467",485,"1,944",38,12,
Totowa,"10,705",11,0,2,5,4,330,34,266,30,1,
Trenton,"82,609","1,154",17,26,512,599,"2,624",824,"1,399",401,23,
Tuckerton,"3,918",6,0,0,0,6,44,14,29,1,0,
Union Beach,"6,615",6,0,1,2,3,72,20,51,1,1,
Union City,"61,665",291,1,0,119,171,"1,398",279,962,157,3,
Union Township,"53,579",133,1,4,65,63,"1,030",159,776,95,1,
Upper Saddle River,"8,537",0,0,0,0,0,30,6,22,2,1,
Ventnor City,"12,111",27,0,0,14,13,389,120,262,7,0,
Vernon Township,"24,870",9,0,2,1,6,482,62,414,6,5,
Verona,"12,384",8,1,0,2,5,105,27,76,2,0,
Vineland,"59,121",276,3,14,120,139,"2,316",537,"1,708",71,16,
Voorhees Township,"31,686",58,0,9,14,35,706,118,561,27,5,
Waldwick,"9,511",4,0,0,2,2,59,6,53,0,1,
Wallington,"11,265",11,0,0,9,2,179,42,117,20,0,
Wall Township,"26,265",25,0,2,3,20,509,117,379,13,0,
Wanaque,"12,433",4,0,0,2,2,140,6,132,2,0,
Warren Township,"16,150",2,0,0,0,2,87,23,61,3,0,
"Washington Township, Bergen County","9,615",2,0,0,1,1,39,17,22,0,0,
"Washington Township, Gloucester County","51,757",97,0,5,32,60,"1,086",189,842,55,8,
"Washington Township, Morris County","18,468",7,0,0,0,7,94,27,64,3,0,
"Washington Township, Warren County","6,935",3,0,0,0,3,50,18,30,2,0,
Watchung,"6,720",3,0,0,2,1,342,13,327,2,0,
Waterford Township,"10,674",12,0,3,3,6,143,46,87,10,3,
Wayne Township,"53,891",57,1,7,27,22,"1,316",134,"1,132",50,0,
Weehawken Township,"12,252",25,0,0,15,10,342,47,263,32,0,
Wenonah,"2,360",0,0,0,0,0,19,4,14,1,0,
Westampton Township,"8,799",13,0,2,6,5,190,29,152,9,0,
West Amwell Township,"2,970",5,0,0,0,5,29,8,20,1,0,
West Caldwell Township,"10,358",7,0,0,3,4,72,8,62,2,1,
West Cape May,968,0,0,0,0,0,33,6,27,0,0,
West Deptford Township,"22,326",44,0,2,11,31,483,99,351,33,2,
Westfield,"29,426",11,0,1,6,4,276,58,211,7,2,
West Long Branch,"8,346",10,0,0,4,6,219,21,193,5,1,
West Milford Township,"27,879",26,1,1,4,20,350,96,242,12,2,
West New York,"46,528",180,0,3,91,86,715,178,442,95,5,
West Orange,"42,357",70,0,1,40,29,713,156,504,53,4,
Westville,"4,464",24,0,2,4,18,138,37,92,9,2,
West Wildwood,395,0,0,0,0,0,40,17,22,1,0,
West Windsor Township,"27,061",12,0,1,8,3,536,64,448,24,0,
Westwood,"10,666",10,0,0,2,8,61,14,45,2,0,
Wharton,"6,060",1,0,0,1,0,122,18,102,2,1,
Wildwood,"5,242",59,1,3,33,22,490,162,317,11,2,
Wildwood Crest,"3,987",5,0,1,1,3,141,36,105,0,1,
Willingboro Township,"36,977",118,2,7,57,52,708,169,484,55,8,
Winfield Township,"1,435",0,0,0,0,0,16,3,12,1,0,
Winslow Township,"39,975",186,1,3,32,150,755,256,451,48,4,
Woodbridge Township,"98,013",139,1,7,61,70,"2,377",278,"1,919",180,18,
Woodbury,"10,467",52,0,1,19,32,505,97,396,12,2,
Woodbury Heights,"3,059",6,0,0,4,2,90,23,66,1,2,
Woodcliff Lake,"5,962",2,0,0,0,2,41,8,30,3,0,
Woodland Park,"12,014",23,0,5,6,12,228,50,159,19,2,
Woodlynne,"2,676",26,1,3,14,8,119,28,85,6,0,
Wood-Ridge,"7,432",0,0,0,0,0,55,12,42,1,0,
Woodstown,"3,385",1,0,0,0,1,40,10,30,0,0,
Woolwich Township,"12,624",5,0,0,2,3,99,23,76,0,0,
Wyckoff Township,"16,938",10,0,0,1,9,101,27,73,1,3,
"1 The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table.",,,,,,,,,,,,
